second	 CPU usage
     1	     6.60%
     2	     8.63%
     3	     7.26%
     4	     6.60%
     5	     6.40%
     6	     7.28%
     7	     6.98%
     8	     7.51%
     9	     7.59%
    10	     8.23%
    11	     8.37%
    12	     8.14%
    13	     8.29%
    14	     8.07%
SINGTERM caught
    15	     8.01%

second	 CPU usage
     1	     2.56%
     2	     4.34%
     3	     4.07%
     4	     6.22%
     5	     5.80%
     6	     5.34%
     7	     5.23%
     8	     5.21%
     9	     4.97%
    10	     4.88%
    11	     4.89%
    12	     4.66%
    13	     4.57%
    14	     4.61%
    15	     4.51%
    16	     4.48%
    17	     4.46%
    18	     4.41%
    19	     4.34%
    20	     4.38%
    21	     4.29%
    22	     4.23%
    23	     4.23%
    24	     4.20%
    25	     4.15%
    26	     4.17%
    27	     4.13%
    28	     4.09%
    29	     4.11%
    30	     4.11%
    31	     4.07%
    32	     4.09%
    33	     4.13%
    34	     4.16%
    35	     4.17%
    36	     4.13%
    37	     4.10%
    38	     4.11%
    39	     4.09%
    40	     4.09%
    41	     4.10%
    42	     4.10%
    43	     4.08%
    44	     4.11%
    45	     4.08%
    46	     4.07%
    47	     4.08%
    48	     4.06%
    49	     4.06%
    50	     4.07%
    51	     4.04%
    52	     4.03%
    53	     4.04%
    54	     4.01%
    55	     4.00%
    56	     4.21%
    57	     4.21%
    58	     4.19%
    59	     4.20%
    60	     4.18%
    61	     4.17%
    62	     4.18%
    63	     4.17%
    64	     4.15%
    65	     4.17%
    66	     4.15%
    67	     4.16%
    68	     4.18%
    69	     4.16%
    70	     4.16%
    71	     4.17%
    72	     4.16%
    73	     4.18%
    74	     4.18%
    75	     4.17%
    76	     4.17%
    77	     4.17%
    78	     4.16%
    79	     4.16%
    80	     4.16%
    81	     4.15%
    82	     4.15%
    83	     4.15%
    84	     4.14%
    85	     4.14%
    86	     4.14%
    87	     4.12%
    88	     4.14%
    89	     4.13%
    90	     4.12%
    91	     4.12%
    92	     4.12%
    93	     4.19%
    94	     4.22%
    95	     4.25%
    96	     4.34%
    97	     4.39%
    98	     4.45%
    99	     4.51%
   100	     4.57%
   101	     4.62%
   102	     4.66%
   103	     4.66%
   104	     4.71%
   105	     4.73%
SINGTERM caught
   106	     4.75%
second	 CPU usage
thread - logger wasn't executed during last two second
     1	     7.87%
second	 CPU usage
thread - analyzer wasn't executed during last two second
thread - printer wasn't executed during last two second
thread - logger wasn't executed during last two second
     1	     3.55%
second	 CPU usage
thread - analyzer wasn't executed during last two second
thread - printer wasn't executed during last two second
thread - logger wasn't executed during last two second
     1	     5.08%
second	 CPU usage
     1	     5.58%
     2	     8.40%
     3	     8.50%
     4	     8.92%
     5	     8.50%
     6	     9.03%
     7	     8.98%
     8	     8.95%
     9	     9.76%
    10	     9.25%
    11	     8.88%
    12	     9.03%
    13	     8.93%
SINGTERM caught
    14	     9.02%
second	 CPU usage
     1	    10.92%
     2	    11.01%
     3	    11.24%
     4	     9.66%
     5	     9.77%
     6	     9.69%
     7	    10.25%
     8	     9.68%
     9	     9.63%
    10	     9.69%
    11	     9.57%
    12	     9.63%
    13	     9.79%
    14	    10.10%
SINGTERM caught
    15	     9.97%
second	 CPU usage
     1	    10.31%
     2	    10.48%
     3	     9.92%
     4	     9.36%
     5	     9.33%
     6	     9.29%
     7	     9.56%
     8	     9.51%
     9	     9.41%
    10	     9.34%
    11	     9.56%
    12	    10.36%
    13	    10.46%
    14	    10.62%
SINGTERM caught
    15	    10.55%
